Country Name,ISO,Indicator Name,Indicator Code,Value
Monaco,MCO,"Population, total",SP.POP.TOTL,36469
Moldova,MDA,"Population, total",SP.POP.TOTL,2538894
Madagascar,MDG,"Population, total",SP.POP.TOTL,29611714
Maldives,MDV,"Population, total",SP.POP.TOTL,523787
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,493279469
Mexico,MEX,"Population, total",SP.POP.TOTL,127504125
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,41569
Middle income,MIC,"Population, total",SP.POP.TOTL,5974552342
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2057679
Mali,MLI,"Population, total",SP.POP.TOTL,22593590
Malta,MLT,"Population, total",SP.POP.TOTL,531113
Myanmar,MMR,"Population, total",SP.POP.TOTL,54179306
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,424328381
Montenegro,MNE,"Population, total",SP.POP.TOTL,617213
Mongolia,MNG,"Population, total",SP.POP.TOTL,3398366
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,49551
Mozambique,MOZ,"Population, total",SP.POP.TOTL,32969518
Mauritania,MRT,"Population, total",SP.POP.TOTL,4736139
Mauritius,MUS,"Population, total",SP.POP.TOTL,1262523
Malawi,MWI,"Population, total",SP.POP.TOTL,20405317
Malaysia,MYS,"Population, total",SP.POP.TOTL,33938221
North America,NAC,"Population, total",SP.POP.TOTL,372280991
Namibia,NAM,"Population, total",SP.POP.TOTL,2567012
New Caledonia,NCL,"Population, total",SP.POP.TOTL,269220
Niger,NER,"Population, total",SP.POP.TOTL,26207977
Nigeria,NGA,"Population, total",SP.POP.TOTL,218541212
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6948392
Netherlands,NLD,"Population, total",SP.POP.TOTL,17700982
Norway,NOR,"Population, total",SP.POP.TOTL,5457127
Nepal,NPL,"Population, total",SP.POP.TOTL,30547580
Nauru,NRU,"Population, total",SP.POP.TOTL,12668
New Zealand,NZL,"Population, total",SP.POP.TOTL,5124100
OECD members,OED,"Population, total",SP.POP.TOTL,1376606817
Oman,OMN,"Population, total",SP.POP.TOTL,4576298
Other small states,OSS,"Population, total",SP.POP.TOTL,33169026
Pakistan,PAK,"Population, total",SP.POP.TOTL,235824862
Panama,PAN,"Population, total",SP.POP.TOTL,4408581
Peru,PER,"Population, total",SP.POP.TOTL,34049588
Philippines,PHL,"Population, total",SP.POP.TOTL,115559009
Palau,PLW,"Population, total",SP.POP.TOTL,18055
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,10142619
Poland,POL,"Population, total",SP.POP.TOTL,36821749
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,1038012552
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3221789
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,26069416
Portugal,PRT,"Population, total",SP.POP.TOTL,10409704
Paraguay,PRY,"Population, total",SP.POP.TOTL,6780744
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,5043612
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2639019
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1113495082
French Polynesia,PYF,"Population, total",SP.POP.TOTL,306279
Qatar,QAT,"Population, total",SP.POP.TOTL,2695122
Romania,ROU,"Population, total",SP.POP.TOTL,19047009
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144236933
Rwanda,RWA,"Population, total",SP.POP.TOTL,13776698
South Asia,SAS,"Population, total",SP.POP.TOTL,1919348000
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,36408820
Sudan,SDN,"Population, total",SP.POP.TOTL,46874204
Senegal,SEN,"Population, total",SP.POP.TOTL,17316449
Singapore,SGP,"Population, total",SP.POP.TOTL,5637022
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,724273
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,8605718
El Salvador,SLV,"Population, total",SP.POP.TOTL,6336392
San Marino,SMR,"Population, total",SP.POP.TOTL,33660
Somalia,SOM,"Population, total",SP.POP.TOTL,17597511
Serbia,SRB,"Population, total",SP.POP.TOTL,6664449
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1211070124
South Sudan,SSD,"Population, total",SP.POP.TOTL,10913164
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1211190002
Small states,SST,"Population, total",SP.POP.TOTL,43313523
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,227380
Suriname,SUR,"Population, total",SP.POP.TOTL,618040
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5431752
Slovenia,SVN,"Population, total",SP.POP.TOTL,2111986
Sweden,SWE,"Population, total",SP.POP.TOTL,10486941
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1201670
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,42848
Seychelles,SYC,"Population, total",SP.POP.TOTL,119878
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,22125249
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,45703
Chad,TCD,"Population, total",SP.POP.TOTL,17723315
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2103055378
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,457549063
Togo,TGO,"Population, total",SP.POP.TOTL,8848699
Thailand,THA,"Population, total",SP.POP.TOTL,71697030
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9952787
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6430770
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,643602758
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1341296
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,419284769
Tonga,TON,"Population, total",SP.POP.TOTL,106858
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1919348000
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1211190002
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1531044
Tunisia,TUN,"Population, total",SP.POP.TOTL,12356117
Turkiye,TUR,"Population, total",SP.POP.TOTL,84979913
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11312
Tanzania,TZA,"Population, total",SP.POP.TOTL,65497748
Uganda,UGA,"Population, total",SP.POP.TOTL,47249585
Ukraine,UKR,"Population, total",SP.POP.TOTL,38000000
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2784368143
Uruguay,URY,"Population, total",SP.POP.TOTL,3422794
United States,USA,"Population, total",SP.POP.TOTL,333287557
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,35648100
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,103948
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28301696
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31305
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,105413
Viet Nam,VNM,"Population, total",SP.POP.TOTL,98186856
Vanuatu,VUT,"Population, total",SP.POP.TOTL,326740
World,WLD,"Population, total",SP.POP.TOTL,7950946801
Samoa,WSM,"Population, total",SP.POP.TOTL,222382
Kosovo,XKX,"Population, total",SP.POP.TOTL,1761985
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,33696614
South Africa,ZAF,"Population, total",SP.POP.TOTL,59893885
Zambia,ZMB,"Population, total",SP.POP.TOTL,20017675
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,16320537
